State_Abrvtn,Pltfrm,Aplctn_Sbmtd,Indvdl_Aplctn_Sbmtd,QHP_Elgbl,FA_Elgbl,MC_Elgbl,Cnsmr,New_Cnsmr,Tot_Renrl,Actv_Renrl,Auto_Renrl,Actv_Renrl_Sw,Actv_Renrl_Nsw,Wk_1,Wk_2,Wk_3,Wk_4,Wk_5,Wk_6,Fnl_Snpsht,Avg_Prm,Avg_Prm_Aftr_APTC,Cnsmr_Wth_APTC_CSR,CSR_Cnsmr,CSR_Cnsmr_73,CSR_Cnsmr_87,CSR_Cnsmr_94,CSR_Cnsmr_AIAN,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC,APTC_Cnsmr_Avg_Prm_Aftr_APTC,Age_0_17,Age_18_25,Age_26_34,Age_35_44,Age_45_54,Age_55_64,Age_GE65,Male,Female,AIAN,ASN,NHPI,BLACK,WHT,Othr_Race,Mlt_Race,Unk_Race,Hspnc_Yes,Hspnc_No,Unk_Ethncty,Rrl,Non_Rrl,Ctstrphc,Brnz,Slvr,Gld,Pltnm,FPL_NFA,FPL_100_150,FPL_150_200,FPL_200_250,FPL_250_300,FPL_300_400,FPL_Other,Dntl_Cnsmr,Dntl_Age_0_17,Dntl_Age_18_25,Dntl_Age_26_34,Dntl_Age_35_44,Dntl_Age_45_54,Dntl_Age_55_64,Dntl_Age_GE65,BHP_Enrlmnt ,BHP_New_Enrl,BHP_Renrl ,BHP_Age_0_17,BHP_Age_18_25,BHP_Age_26_34,BHP_Age_35_44,BHP_Age_45_54,BHP_Age_55,BHP_Male,BHP_Female
MI,HC.gov,"219,522","336,229","302,887","241,253","39,574","267,070","50,614","216,456","143,865","72,591","53,468","90,397","21,486","21,313","21,489","14,718","26,956","160,931",177,$480 ,$192 ,"217,199","95,743","19,074","38,261","37,402","1,006","216,309",$356 ,$143 ,"31,516","20,100","38,597","38,544","47,111","88,524","2,678","125,965","141,105",852,"10,618",83,"8,838","149,521","2,754","3,866","90,538","5,584","201,119","60,367","61,997","205,073","3,211","133,892","117,135","12,725",107,"25,744","46,294","59,352","52,705","34,641","38,339","9,995","59,063","7,283","4,128","11,960","10,852","10,118","14,086",636,+,+,+,+,+,+,+,+,+,+,+
MN,SBM,"206,883","323,890","276,878","115,636","33,111","112,804","21,720","91,084","14,091","76,993",NR,NR,"97,650",453,419,"1,312",688,850,"11,432",$439 ,$302 ,"56,458","9,945",NR,NR,NR,NR,"56,059",$276 ,$275 ,"12,953","8,043","15,684","16,099","17,933","41,469",623,"54,901","57,903",402,"2,113",28,"1,664","65,236",NR,"1,166","40,790","1,405",NR,NR,NR,NR,"3,279","60,345","32,341","16,839",+,NR,193,450,"23,290","17,788","23,291","47,792","19,735","2,107","1,465","4,879","3,617","2,999","4,443",225,"91,886",NR,NR,"1,413","12,207","19,302","19,905","15,072","23,987","39,246","52,640"
MO,HC.gov,"189,253","269,167","251,765","199,171","17,934","215,311","45,886","169,425","120,017","49,408","57,479","62,538","19,858","18,854","18,097","12,410","23,465","122,504",123,$639 ,$172 ,"182,128","117,429","13,166","33,217","70,188",858,"181,692",$553 ,$102 ,"14,693","20,419","34,719","36,172","40,258","67,446","1,604","97,933","117,378",743,"9,178",93,"9,616","122,415","1,722","3,487","68,057","5,198","165,133","44,980","61,255","154,056","1,617","68,226","138,862","6,606",+,"18,142","84,956","44,620","25,266","14,325","19,153","8,849","27,865","1,585","2,399","5,979","5,640","4,926","7,139",197,+,+,+,+,+,+,+,+,+,+,+
MS,HC.gov,"101,974","132,983","127,421","111,888","5,713","110,966","29,323","81,643","52,811","28,832","36,900","15,911","12,230","10,973","9,933","6,790","10,427","60,166",447,$622 ,$110 ,"104,762","83,836","5,951","15,559","62,241",85,"104,656",$543 ,$81 ,"4,475","14,332","16,604","19,847","23,813","30,850","1,045","42,973","67,993",102,"4,474",18,"21,997","26,230",744,707,"56,694","1,506","75,187","34,273","67,375","43,591",+,"19,026","91,217",723,+,"1,030","73,059","18,679","8,801","3,929","2,835","2,633","8,230",560,927,"1,275","1,539","1,650","2,199",80,+,+,+,+,+,+,+,+,+,+,+
MT,HC.gov,"40,276","61,283","51,573","40,434","10,632","44,711","8,002","36,709","25,984","10,725","7,869","18,115","3,221","3,714","3,764","2,160","5,011","26,843",-2,$571 ,$196 ,"36,274","12,170","1,806","5,811","3,288","1,265","35,789",$469 ,$120 ,"4,312","3,110","7,504","7,731","7,446","14,379",229,"21,256","23,455","1,180",576,16,77,"35,223",304,980,"6,355","1,062","40,137","3,512","33,021","11,690",258,"28,201","12,674","3,578",+,"4,710","4,419","9,828","7,881","6,998","9,215","1,660","9,303",985,607,"1,861","1,819","1,545","2,427",59,+,+,+,+,+,+,+,+,+,+,+
NC,HC.gov,"442,090","638,588","612,536","517,679","27,402","535,803","121,392","414,411","297,318","117,093","129,002","168,316","51,780","49,754","42,259","28,518","57,158","306,801",-467,$633 ,$125 ,"480,586","261,799","18,778","67,695","174,322","1,004","479,863",$567 ,$82 ,"47,196","53,665","88,648","90,692","107,730","142,924","4,948","235,598","300,205","2,339","25,437",183,"49,561","260,591","7,298","8,936","181,458","29,988","403,064","102,751","136,373","399,430","8,212","192,736","276,595","58,260",+,"23,131","207,741","101,550","76,952","49,483","56,310","20,636","77,601","2,404","6,623","18,036","16,472","15,800","17,503",763,+,+,+,+,+,+,+,+,+,+,+
ND,HC.gov,"15,312","27,332","25,277","20,938","2,526","22,709","4,283","18,426","13,459","4,967","4,142","9,317","1,853","2,099","2,082","1,415","2,524","12,740",-4,$485 ,$135 ,"19,032","6,645",702,"3,605","1,724",614,"18,926",$420 ,$84 ,"5,508","1,762","3,618","3,393","2,866","5,455",107,"11,097","11,612",568,530,12,351,"16,378",135,473,"4,262",483,"19,523","2,703","14,401","8,308",376,"9,001","6,640","6,692",+,"1,781","2,161","6,030","4,647","3,356","3,910",824,"2,460",259,193,626,519,354,496,13,+,+,+,+,+,+,+,+,+,+,+
NE,HC.gov,"65,044","107,181","97,231","87,287","13,856","88,688","13,425","75,263","56,349","18,914","25,285","31,064","7,767","8,450","8,428","5,864","11,073","47,180",-74,$722 ,$95 ,"82,379","24,221","1,538","8,974","13,127",582,"82,307",$676 ,$54 ,"14,500","8,588","14,433","14,809","13,737","22,129",492,"42,577","46,111",487,"2,176",33,"1,298","57,747",726,"1,252","24,969","4,591","68,157","15,940","46,415","42,273",437,"45,989","25,004","17,258",+,"3,003","18,283","17,319","18,047","13,153","17,347","1,536","10,593","1,831",893,"2,265","2,046","1,615","1,880",63,+,+,+,+,+,+,+,+,+,+,+
NH,HC.gov,"40,751","58,475","53,338","35,040","6,157","46,670","8,926","37,744","24,922","12,822","7,519","17,403","4,014","3,826","3,724","2,633","4,664","27,823",-14,$446 ,$236 ,"30,039","15,261","4,012","7,020","4,204",25,"29,861",$328 ,$148 ,"3,608","3,476","7,517","6,653","8,593","16,473",350,"21,854","24,816",41,"1,675",15,249,"31,180",517,593,"12,400","1,231","38,070","7,369","19,819","26,851",871,"19,459","22,426","3,914",+,"10,918","4,660","8,894","7,124","4,869","7,765","2,440","7,745",742,536,"1,683","1,301","1,349","2,057",77,+,+,+,+,+,+,+,+,+,+,+
NJ,SBM,"260,468","360,539","319,696","240,428","39,172","269,560","75,749","193,811","33,855","159,956",NR,NR,"214,648","3,531","3,232","2,174","4,243","6,375","35,357",$575 ,$228 ,"213,233","128,822",NR,NR,NR,NR,"212,921",$439 ,$163 ,"19,366","23,286","44,995","40,374","53,985","81,114","6,440","125,147","144,413",119,"39,122",171,"14,582","136,076",NR,"10,069","40,201","29,220",NR,NR,NR,NR,"1,953","60,603","202,673","4,331",+,NR,"40,389","64,838","43,249","29,750","40,075","51,259","74,007","6,462","6,401","15,656","12,584","14,190","17,290","1,424",+,+,+,+,+,+,+,+,+,+,+
NM,HC.gov,"39,871","55,675","49,714","35,856","7,114","42,984","9,518","33,466","24,347","9,119","10,484","13,863","4,291","3,925","3,987","2,498","4,721","23,526",36,$463 ,$195 ,"31,274","13,744","1,872","6,445","4,826",601,"31,070",$371 ,$117 ,"3,083","2,690","5,269","6,076","8,311","16,734",821,"19,548","23,436",565,"1,729",24,380,"22,408","1,628","1,059","15,191","13,608","23,347","6,029","13,128","29,856",79,"16,636","15,289","10,980",+,"7,151","5,784","10,062","6,923","5,173","5,571","2,320","9,797",737,540,"1,698","1,766","1,797","3,097",162,+,+,+,+,+,+,+,+,+,+,+
NV,SBM,"65,308","119,597","95,521","76,294","4,527","81,903","25,297","56,606","19,186","37,420",NR,NR,"61,946","1,315","2,145",866,"1,798","1,848","11,985",NR,NR,"69,599","40,388",NR,NR,NR,NR,"69,488",NR,NR,"11,147","5,957","11,507","12,819","15,022","23,640","1,801","38,238","43,665",403,"17,011",340,"3,175","37,872",NR,+,"15,079","8,023",NR,NR,NR,NR,501,"31,837","46,446","3,119",+,NR,"21,197","19,252","14,446","7,052","6,335","13,621","17,977","3,215","1,342","3,731","3,318","2,860","3,244",267,+,+,+,+,+,+,+,+,+,+,+
NY,SBM,"616,151","1,031,329","321,708","134,377",NR,"215,889","34,081","181,808","70,375","111,433",NR,NR,"1,068","1,039","144,632","8,045","13,737","16,288","31,080",$656 ,$256 ,"112,013","41,094",NR,NR,NR,NR,"112,013",$326 ,NR,"9,506","15,880","37,615","35,682","43,641","71,001","2,564","105,403","110,486",878,"22,689",304,"12,150","138,793",NR,+,"38,885","18,295",NR,NR,NR,NR,"3,899","88,220","79,241","26,367","18,162",NR,379,395,"40,126","32,431","38,515","104,043","19,170",831,"1,371","4,381","3,710","3,768","4,959",150,"883,451","33,608","849,843",0,"118,151","207,027","206,138","190,322","161,813","407,956","475,495"
OH,HC.gov,"180,710","265,941","237,115","171,645","33,798","201,069","41,091","159,978","108,211","51,767","45,082","63,129","15,074","13,700","15,107","10,907","21,256","125,123",-98,$524 ,$243 ,"149,432","61,594","14,271","27,680","19,516",127,"148,972",$379 ,$163 ,"22,769","13,803","29,061","27,203","33,630","72,831","1,772","92,676","108,393",180,"9,658",51,"8,350","125,998","1,792","3,038","52,002","4,513","165,231","31,325","42,011","159,058","2,488","109,865","79,696","9,020",+,"33,805","25,953","43,710","39,602","24,447","26,151","7,401","26,786","2,808","1,692","5,214","4,764","4,657","7,294",357,+,+,+,+,+,+,+,+,+,+,+
OK,HC.gov,"133,423","205,490","196,795","171,320","9,218","171,551","33,721","137,830","87,450","50,380","34,866","52,584","13,689","13,183","13,243","9,356","18,662","102,979",439,$623 ,$106 ,"158,457","95,262","6,468","18,211","44,325","26,258","156,190",$568 ,$61 ,"20,298","18,163","27,885","30,970","30,713","42,087","1,435","77,184","94,367","21,311","7,300",149,"5,013","78,236","1,822","8,028","49,692","9,781","120,271","41,499","70,240","101,311",822,"69,297","75,333","26,099",+,"4,895","64,328","34,811","29,727","17,543","14,493","5,754","34,359","5,245","3,154","6,363","6,584","5,612","7,170",231,+,+,+,+,+,+,+,+,+,+,+
OR,HC.gov,"130,436","186,928","161,744","113,069","29,413","141,089","26,330","114,759","83,702","31,057","27,208","56,494","13,329","13,086","11,829","7,365","15,599","79,638",243,$562 ,$246 ,"99,414","41,368","8,908","19,294","12,164","1,002","98,805",$451 ,$150 ,"10,895","9,022","22,954","25,249","26,772","44,584","1,613","63,357","77,732",760,"9,764","1,159","1,290","91,348","2,011","4,522","30,235","7,936","117,837","15,316","29,246","111,843",687,"64,194","57,632","18,576",+,"25,580","12,968","28,469","22,704","16,752","25,855","8,761","33,413","2,151","2,154","7,983","7,492","6,008","7,321",304,+,+,+,+,+,+,+,+,+,+,+
