State_Abrvtn,Pltfrm,Aplctn_Sbmtd,Indvdl_Aplctn_Sbmtd,QHP_Elgbl,FA_Elgbl,MC_Elgbl,Cnsmr,New_Cnsmr,Tot_Renrl,Actv_Renrl,Auto_Renrl,Actv_Renrl_Sw,Actv_Renrl_Nsw,Wk_1,Wk_2,Wk_3,Wk_4,Wk_5,Wk_6,Wk_7,Wk_8,Wk_9,Wk_10,Wk_11,Avg_Prm,Avg_Prm_Aftr_APTC,Cnsmr_Prm_Aftr_APTC_LTEQ10,Cnsmr_Wth_APTC_CSR,CSR_Cnsmr,CSR_Cnsmr_73,CSR_Cnsmr_87,CSR_Cnsmr_94,CSR_Cnsmr_AIAN,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC,APTC_Cnsmr_Avg_Prm_Aftr_APTC,Age_0_17,Age_18_25,Age_26_34,Age_35_44,Age_45_54,Age_55_64,Age_GE65,Male,Female,Hspnc_Yes,AIAN_NonHspnc,ASN_NonHspnc,NHPI_NonHspnc,BLACK_NonHspnc,WHT_NonHspnc,Othr_Race_NonHspnc,Mlt_Race_NonHspnc,Unk_Race_Ethncty,AIAN,ASN,NHPI,BLACK,WHT,Othr_Race,Mlt_Race,Unk_Race,Hspnc_No,Unk_Ethncty,Rrl,Non_Rrl,Ctstrphc,Brnz,Slvr,Gld,Pltnm,FPL_LT100,FPL_100_138,FPL_100_150,FPL_150_200,FPL_200_250,FPL_250_300,FPL_300_400,FPL_400_500,FPL_GT500,FPL_OTHR,Dntl_Cnsmr,Dntl_Age_0_17,Dntl_Age_18_25,Dntl_Age_26_34,Dntl_Age_35_44,Dntl_Age_45_54,Dntl_Age_55_64,Dntl_Age_GE65,BHP_Enrlmnt,BHP_New_Enrl,BHP_Renrl,BHP_Age_0_17,BHP_Age_18_25,BHP_Age_26_34,BHP_Age_35_44,BHP_Age_45_54,BHP_Age_55,BHP_Male,BHP_Female
MS,HC.gov,"131,150","168,361","161,889","146,776","6,470","143,014","36,935","106,079","70,192","35,887","52,667","17,525","12,294","24,231","34,764","41,515","52,932","66,673","132,976","134,013","135,506","137,285","143,014",$618 ,$72 ,"29,707","138,007","114,400","8,989","22,359","82,953",99,"137,882",$566 ,$53 ,"6,852","17,480","21,638","26,835","31,309","37,764","1,136","58,029","84,985","1,942",136,"5,077",28,"32,371","33,387",800,776,"68,497",139,"5,100",36,"32,425","33,994","1,105",885,"69,330","99,329","41,743","90,560","52,454",+,"18,919","122,604","1,491",+,"2,087","78,462","90,717","25,181","12,103","5,564","4,164",908,800,"1,490","9,301",880,887,"1,433","1,761","1,869","2,382",89,+,+,+,+,+,+,+,+,+,+,+
MT,HC.gov,"44,060","67,482","58,032","51,001","9,816","51,134","10,121","41,013","27,887","13,126","8,390","19,497","2,921","6,357","9,717","11,943","16,592","22,790","49,320","49,460","49,657","49,664","51,134",$577 ,$142 ,"15,573","44,705","14,380","2,898","6,855","3,426","1,201","44,408",$500 ,$91 ,"5,364","3,766","8,545","8,846","8,395","15,979",239,"24,550","26,584","1,308","1,084",651,22,100,"38,852",228,"1,012","7,877","1,125",662,26,112,"39,517",402,"1,140","8,150","44,970","4,856","37,557","13,577",211,"29,075","15,558","6,290",+,117,849,"4,110","9,471","8,324","7,940","10,795","3,757","3,904","2,716","11,540","1,259",764,"2,346","2,323","1,887","2,894",67,+,+,+,+,+,+,+,+,+,+,+
NC,HC.gov,"553,847","778,448","752,216","678,645","26,414","670,223","150,846","519,377","361,441","157,936","196,375","165,066","50,302","99,093","146,048","179,457","236,193","311,187","638,725","642,456","645,664","649,261","670,223",$637 ,$96 ,"240,243","626,922","335,207","35,408","87,037","211,548","1,214","625,977",$579 ,$68 ,"60,682","65,058","110,427","115,450","136,733","175,507","6,366","300,892","369,331","41,687","2,637","28,961",183,"62,928","292,165","4,629","9,079","227,954","2,962","29,106",221,"63,887","310,523","10,599","10,599","242,326","477,723","150,813","167,372","502,851","6,397","242,491","354,972","66,363",+,"10,665","205,906","251,114","120,692","93,562","63,048","69,531","21,715","25,136","14,760","89,275","3,272","7,244","19,702","19,128","18,460","20,558",911,+,+,+,+,+,+,+,+,+,+,+
ND,HC.gov,"20,027","35,174","32,776","29,901","2,628","29,873","6,627","23,246","16,520","6,726","3,941","12,579","1,962","3,988","6,360","7,910","10,717","14,525","28,829","28,949","29,155","29,046","29,873",$507 ,$100 ,"12,154","26,987","7,641",763,"4,082","2,126",670,"26,898",$452 ,$69 ,"7,063","2,489","4,584","4,450","3,716","7,417",154,"14,702","15,171",707,608,689,9,569,"20,033",109,550,"6,599",627,693,10,580,"20,367",191,593,"6,812","25,017","4,149","18,615","11,258",346,"10,411","7,486","11,630",+,335,761,"2,461","6,650","5,583","4,296","5,270","2,017","2,221","1,040","3,241",377,253,804,701,443,644,19,+,+,+,+,+,+,+,+,+,+,+
NE,HC.gov,"70,931","117,194","108,278","101,695","9,958","99,011","17,586","81,425","64,582","16,843","41,592","22,990","5,834","12,382","19,978","25,659","37,005","51,596","96,864","96,942","96,738","96,982","99,011",$707 ,$121 ,"31,686","94,457","22,200","2,518","9,015","10,049",618,"94,382",$615 ,$97 ,"16,860","9,214","15,149","16,282","15,583","25,256",667,"48,365","50,646","4,902",469,"2,204",39,"1,462","58,139",249,"1,049","30,498",517,"2,223",50,"1,485","60,182",847,"1,263","32,444","73,308","20,801","52,024","46,987",393,"67,982","22,992","7,644",+,369,"4,286","14,267","17,577","19,554","15,231","18,746","5,279","6,168","1,820","9,954","1,679",804,"1,940","1,999","1,644","1,808",80,+,+,+,+,+,+,+,+,+,+,+
NH,HC.gov,"45,321","65,206","59,662","46,442","6,081","52,497","9,586","42,911","25,572","17,339","8,870","16,702","3,278","6,492","9,531","11,663","15,902","21,535","50,849","50,907","51,014","51,233","52,497",$447 ,$212 ,"4,488","37,062","16,433","4,707","7,322","4,377",27,"36,848",$335 ,$135 ,"4,150","3,827","8,615","7,874","9,119","18,545",367,"24,833","27,664","1,554",43,"1,778",13,265,"34,668",267,605,"13,304",52,"1,779",17,295,"35,345",561,692,"13,756","42,633","8,310","22,331","30,166",670,"20,098","25,449","6,280",+,346,"1,170","4,622","8,688","7,701","5,796","9,158","3,961","4,094","8,131","8,289",806,546,"1,803","1,440","1,352","2,242",100,+,+,+,+,+,+,+,+,+,+,+
NJ,SBM,"292,746","434,509","366,117","317,784","57,049","324,266","58,005","266,261","65,304","200,957",NR,NR,"8,155","16,390","24,007","30,002","40,942","50,937","296,828","299,589","307,292","307,641","311,692",$620 ,$197 ,"39,134","280,248","155,362",NR,NR,NR,NR,"280,108",$489 ,$148 ,"24,044","27,638","55,481","50,276","63,177","95,956","7,694","152,400","171,866","31,470",242,"44,409",389,"18,970","153,312","8,145","4,898","62,431",298,"44,496",461,"19,734","162,550","13,279","5,641",NR,NR,NR,NR,NR,"1,464","57,263","260,515","5,024",+,"10,034","18,957","45,895","70,249","50,991","36,838","49,921","14,480","15,626","30,232","93,280","8,307","7,993","20,165","16,060","17,100","21,588","2,067",+,+,+,+,+,+,+,+,+,+,+
NM,SBM,"38,671","52,948","47,469","39,355","5,478","45,664","12,331","33,333","12,287","21,046",NR,NR,"1,725","3,326","6,129","7,203","7,032","12,307","40,607","42,505","43,303","44,477","45,664",$540 ,$219 ,"6,014","38,315","9,710",NR,NR,NR,NR,"37,443",$460 ,$156 ,"3,284","3,087","5,885","6,710","8,683","17,351",664,"20,855","24,809","5,154",556,"1,916",169,404,"21,897",150,618,"14,800",611,"1,930",173,421,"25,411",393,719,NR,NR,NR,NR,NR,+,"6,711","12,640","26,313",+,"1,167","1,651","4,766","8,175","6,756","5,428","6,578","2,690","2,772","7,332","10,746",922,542,"1,845","2,014","1,865","3,109",449,+,+,+,+,+,+,+,+,+,+,+
NV,SBM,"79,416","120,432","101,462","101,137","3,964","101,411","20,562","80,849","27,700","53,149",NR,NR,"5,539","9,031","13,248","16,089","21,343","27,621","95,697","96,243","96,703","97,454","101,411",NR,NR,"16,423","91,333",NR,NR,NR,NR,NR,"91,322",NR,NR,"15,556","7,660","15,599","16,324","17,752","26,461","2,047","47,851","53,560","14,644",765,"19,918",685,"4,331","44,063","1,016",+,"15,989",NR,NR,NR,NR,NR,NR,+,NR,NR,NR,NR,NR,381,"38,079","58,220","4,731",+,"2,092","8,562","22,804","22,573","18,723","10,362","10,025",3258,3049,"8,525","18,761","3,730","1,676","4,235","3,245","2,798","2,965",112,+,+,+,+,+,+,+,+,+,+,+
NY,SBM,"520,786","897,817","314,785","158,475",NR,"221,895","35,075","186,820","107,672","79,148",NR,NR,0,0,"26,141","40,851","62,873","87,011","206,566","208,891","211,327","215,571","219,215",$608 ,$400 ,"11,712","137,984","34,484",NR,NR,NR,NR,"137,984",$363 ,$233 ,"9,861","15,898","39,669","37,445","43,524","72,574","2,924","108,074","113,821","19,499",313,"22,917",141,"10,988","138,893","3,211","3,879","22,054",385,"23,025",199,"11,806","145,625","8,221","4,609",NR,NR,NR,NR,NR,"2,895","82,877","89,190","28,190","18,743",203,278,399,483,"33,341","31,852","41,631","5,820","24,255","83,911","19,358",951,"1,335","4,307","3,744","3,668","5,194",159,"956,022","27,121","928,901",0,"121,404","227,462","226,771","206,897","173,488","458,855","497,167"
OH,HC.gov,"233,044","334,040","302,680","243,719","33,830","259,999","74,767","185,232","122,894","62,338","57,145","65,749","15,842","32,755","50,393","63,028","86,487","118,665","246,773","248,176","250,108","251,487","259,999",$575 ,$230 ,"35,063","205,586","86,729","22,910","35,408","28,250",161,"205,073",$437 ,$138 ,"28,233","17,923","35,359","33,865","41,369","101,265","1,985","121,529","138,470","6,156",204,"10,643",59,"12,429","150,200","1,630","3,292","75,386",253,"10,677",75,"12,601","152,933","2,581","3,651","77,228","204,570","49,273","55,648","204,351","2,560","124,744","120,286","12,409",+,"1,348","7,289","33,493","48,348","47,476","32,112","35,276","12,959","14,600","34,387","33,509","3,409","2,203","6,817","6,062","5,740","8,857",421,+,+,+,+,+,+,+,+,+,+,+
OK,HC.gov,"150,195","228,353","206,298","193,876","26,475","189,444","30,846","158,598","93,755","64,843","46,779","46,976","9,925","20,670","31,265","38,851","53,386","72,262","185,343","186,102","186,177","185,866","189,444",$623 ,$93 ,"83,184","181,585","102,222","7,275","23,176","42,371","29,400","180,069",$558 ,$69 ,"23,636","19,203","29,845","34,246","34,061","46,808","1,645","86,317","103,127","10,362","23,664","7,538",130,"5,229","76,950",744,"7,824","57,003","23,928","7,570",144,"5,352","81,396","2,088","8,507","60,459","130,232","48,850","82,388","107,056",306,"79,930","77,436","31,772",+,"1,362","32,415","60,678","41,895","34,472","21,680","17,112","4,475","4,206","3,564","34,895","5,967","2,964","5,927","6,666","5,597","7,505",269,+,+,+,+,+,+,+,+,+,+,+
OR,HC.gov,"130,714","188,091","165,465","137,684","24,294","146,602","29,040","117,562","83,852","33,710","25,418","58,434","11,067","22,240","32,509","39,098","52,379","70,632","142,236","142,582","142,631","142,358","146,602",$587 ,$201 ,"23,542","116,018","41,461","11,098","19,081","10,222","1,060","115,516",$489 ,$130 ,"11,631","9,219","22,585","25,966","28,054","47,551","1,596","66,545","80,057","8,727",754,"10,057",504,"1,372","91,216","1,142","4,154","28,676",855,"10,130",528,"1,434","94,589","2,445","4,847","31,774","121,263","16,612","32,249","114,353",513,"61,601","59,329","25,159",+,"1,434","2,636","10,742","24,571","22,336","18,572","28,679","11,906","14,621","13,741","36,247","2,294","2,334","8,097","8,083","6,657","8,445",337,+,+,+,+,+,+,+,+,+,+,+
PA,SBM,"317,946","449,863","415,453","374,161","32,946","374,776","67,570","307,206","89,890","217,316",NR,NR,"12,143","25,289","39,617","50,376","66,605","87,327","357,883","358,792","360,093","364,606","374,776",$616 ,$168 ,"63,235","335,618","125,648",NR,NR,NR,NR,"335,527",$501 ,$133 ,"20,601","26,332","59,771","58,169","68,923","136,781","4,199","176,406","198,370","12,912",264,"27,910",178,"13,742","237,113","3,416","3,954","75,287",296,"27,982",213,"14,189","241,841","5,766","4,418",NR,NR,NR,NR,NR,"1,625","90,297","151,284","131,570",+,"6,435","23,674","60,149","86,206","62,716","43,232","55,475","16,571","18,532","25,460","87,689","4,638","6,606","19,649","15,990","15,125","24,362","1,319",+,+,+,+,+,+,+,+,+,+,+
RI,SBM,"78,251","113,781","55,298","37,989","10,322","32,345","4,760","27,585","2,495","25,090",NR,NR,469,847,"1,228","1,506","2,028","2,700","31,902","32,308","32,775","30,619","31,343",$477 ,$135 ,"10,754","27,408","11,329",NR,NR,NR,NR,"27,391",$403 ,$89 ,"1,609","2,495","5,868","5,940","6,371","9,249",813,"15,179","17,160","3,210",49,733,16,904,"13,395",943,0,"13,095",72,824,77,"1,187","15,069","3,010",193,NR,NR,NR,NR,NR,+,"7,633","12,412","11,791",509,66,"3,099","5,012","7,182","5,342","3,725","3,994","1,507","1,746","3,771","18,325",794,"1,463","3,657","3,483","3,441","4,705",782,+,+,+,+,+,+,+,+,+,+,+
SC,HC.gov,"249,555","348,300","334,899","303,061","13,404","300,392","74,749","225,643","163,184","62,459","76,554","86,630","21,463","44,585","67,982","83,120","110,538","145,845","283,041","284,944","286,932","289,341","300,392",$585 ,$107 ,"109,642","281,165","110,532","9,151","27,952","73,112",317,"281,020",$512 ,$81 ,"25,819","28,926","47,411","49,322","60,132","86,491","2,291","134,934","165,458","13,093",445,"9,276",79,"29,684","117,794","1,373","2,923","125,725",491,"9,326",94,"29,952","124,322","3,127","3,317","129,763","203,399","83,900","54,956","245,436","2,469","154,314","118,410","25,199",+,"4,330","90,101","110,323","52,527","44,033","29,474","31,787","10,250","10,903","6,765","30,357","2,821","2,534","6,240","5,793","5,691","7,098",180,+,+,+,+,+,+,+,+,+,+,+
SD,HC.gov,"31,240","49,696","46,846","42,730","2,897","41,339","9,376","31,963","23,908","8,055","7,956","15,952","3,117","6,158","9,184","11,191","15,314","20,867","39,240","39,427","39,644","40,025","41,339",$696 ,$91 ,"17,203","39,182","17,867","3,333","5,346","7,962","1,226","39,031",$640 ,$67 ,"6,554","3,591","6,973","6,933","5,879","11,247",162,"19,611","21,728","1,163","1,057",711,13,394,"31,809",112,820,"5,260","1,093",717,17,404,"32,350",295,900,"5,563","36,540","3,636","26,671","14,668",511,"18,239","19,267","3,322",+,553,"7,219","9,217","7,078","7,998","5,514","6,515","1,975","1,962",527,"4,467",142,399,"1,117",996,777,"1,015",21,+,+,+,+,+,+,+,+,+,+,+
TN,HC.gov,"250,479","346,021","321,593","276,858","24,654","273,680","65,799","207,881","136,529","71,352","61,954","74,575","18,159","35,840","53,069","64,576","86,668","116,447","257,864","259,568","261,350","263,507","273,680",$619 ,$128 ,"70,267","247,424","131,864","15,246","36,301","79,869",448,"247,062",$543 ,$85 ,"17,602","22,150","46,393","45,592","56,007","83,235","2,701","126,907","146,773","10,173",423,"11,501",84,"20,490","142,286","1,577","3,602","83,544",478,"11,534",96,"20,646","146,537","2,980","4,049","87,360","204,124","59,383","79,419","194,261",441,"114,261","153,371","5,607",+,"5,528","81,794","101,256","53,375","34,720","25,620","25,326","7,815","9,463","10,577","43,393","2,084","3,379","9,945","8,650","8,283","10,714",338,+,+,+,+,+,+,+,+,+,+,+
TX,HC.gov,"1,436,542","2,185,015","2,103,575","1,900,348","80,207","1,840,947","503,079","1,337,868","1,039,298","298,570","724,382","314,916","132,264","296,243","452,934","567,486","747,860","968,011","1,717,519","1,731,329","1,747,962","1,760,340","1,840,947",$557 ,$86 ,"696,357","1,729,731","1,122,749","73,010","223,349","821,857","4,533","1,727,582",$502 ,$60 ,"207,311","212,637","268,149","302,943","370,108","434,043","45,756","828,576","1,012,371","446,321","3,421","162,527",636,"91,287","340,875","9,627","17,902","768,351","5,422","163,453",819,"93,789","569,381","44,731","27,237","936,115","775,754","618,872","241,764","1,599,183","6,926","482,684","1,177,870","173,467",+,"44,306","783,149","925,702","309,124","213,020","120,032","110,420","35,931","42,288","40,124","260,994","34,757","25,034","45,752","47,636","47,768","55,834","4,213",+,+,+,+,+,+,+,+,+,+,+
UT,HC.gov,"143,744","293,975","276,261","259,034","19,330","256,932","51,349","205,583","158,632","46,951","73,164","85,468","24,225","49,702","72,914","86,723","111,344","141,094","245,244","245,986","247,510","249,418","256,932",$408 ,$62 ,"112,564","241,083","123,557","18,168","35,456","68,210","1,723","240,624",$370 ,$42 ,"73,889","31,352","43,403","40,184","30,969","35,475","1,660","124,035","132,897","19,489","1,289","6,253",733,"1,038","105,694",815,"3,070","118,551","1,445","6,300",762,"1,117","112,716","3,301","3,875","127,416","149,020","88,423","41,964","214,968",496,"120,911","131,124","4,401",+,"4,597","35,748","68,254","44,105","45,331","30,583","34,559","11,104","11,190","7,209","38,393","10,174","3,807","8,378","6,958","4,659","4,235",182,+,+,+,+,+,+,+,+,+,+,+
VA,HC.gov,"257,542","392,611","347,267","307,120","48,154","307,946","65,740","242,206","166,232","75,974","63,011","103,221","20,630","42,513","64,000","78,439","106,141","142,045","295,627","296,800","298,002","299,432","307,946",$577 ,$126 ,"86,942","274,607","118,449","20,869","46,267","50,955",358,"274,207",$506 ,$81 ,"37,707","27,147","45,486","47,865","57,069","85,010","7,662","142,176","165,770","24,034",407,"45,904",155,"26,842","129,937","3,370","6,648","70,649",527,"46,060",177,"27,349","138,949","7,991","7,840","79,053","235,476","48,436","48,467","259,479","2,127","104,390","127,625","70,948","2,856","4,322","17,617","56,441","63,761","57,936","38,484","42,146","13,679","16,073","15,104","65,017","5,275","5,346","12,803","12,029","12,121","15,919","1,524",+,+,+,+,+,+,+,+,+,+,+
VT,SBM,"34,523","58,760","34,586","26,826","24,174","26,705","3,968","22,737","1,619","21,118",NR,NR,"1,020","1,254","1,555","1,695","2,193","2,969","26,108","26,069","26,025","26,265","26,705",$692 ,$204 ,"4,794","23,056","7,586",NR,NR,NR,NR,"23,032",$566 ,$135 ,"1,250","1,888","4,212","4,690","5,269","9,121",275,"12,974","13,730",268,42,272,7,104,"13,274",163,+,"12,575",46,275,8,113,"13,439",213,+,NR,NR,NR,NR,NR,194,"7,512","10,718","6,442","1,839",311,355,"1,785","5,551","4,963","3,847","4,700","1,734","2,130","1,684","3,121",179,213,541,580,542,839,227,+,+,+,+,+,+,+,+,+,+,+
WA,SBM,"666,483","1,235,298","276,839","199,200","905,371","239,566","43,115","196,451","35,935","160,516",NR,NR,"6,818","13,101","18,852","23,417","32,355","43,458","229,956","230,199","231,089","233,008","239,566",$485 ,$229 ,"45,128","168,011","68,767",NR,NR,NR,NR,"167,666",$437 ,$120 ,"16,293","19,407","41,650","41,360","43,841","72,079","4,936","109,387","130,179","12,992","1,860","29,100","2,693","5,360","107,866","3,428","1,855","78,274","2,130","29,528","2,811","5,605","113,006","7,066","2,164",NR,NR,NR,NR,NR,"1,377","108,479","96,813","32,897",+,"7,605","4,075","17,877","43,570","32,692","24,040","32,656","14,412","20,921","45,793","72,114","11,687","6,240","15,246","12,995","11,051","13,185","1,710",+,+,+,+,+,+,+,+,+,+,+
WI,HC.gov,"180,763","250,426","233,956","210,007","17,770","212,209","39,991","172,218","130,148","42,070","54,017","76,131","17,090","35,361","52,778","64,252","86,685","114,274","205,578","206,154","206,636","207,559","212,209",$629 ,$161 ,"50,232","187,950","72,746","11,669","26,644","33,374","1,059","187,555",$530 ,$118 ,"12,264","14,056","29,216","30,044","34,834","90,562","1,233","98,628","113,581","6,944",786,"6,448",46,"4,643","137,083",726,"2,139","53,394",847,"6,483",58,"4,732","140,216","1,691","2,473","55,709","172,765","32,500","82,096","130,113","1,520","95,401","83,092","30,396","1,800",985,"26,965","38,070","36,277","30,919","24,228","40,365","13,869","15,926","11,570","32,948","1,937","2,189","7,025","6,137","5,627","9,795",238,+,+,+,+,+,+,+,+,+,+,+
WV,HC.gov,"25,267","35,392","29,145","25,470","6,424","23,037","6,464","16,573","11,247","5,326","4,597","6,650","1,681","3,154","4,721","5,780","7,953","10,659","21,371","21,486","21,717","21,994","23,037","$1,144 ",$204 ,"4,994","21,623","8,601","1,497","4,359","2,714",31,"21,594","$1,002 ",$156 ,"1,259","1,393","2,849","3,338","4,502","9,525",171,"10,317","12,720",384,21,594,2,370,"16,440",67,243,"4,916",25,596,2,377,"16,631",143,260,"5,003","19,785","2,868","9,919","13,118",75,"8,476","10,202","4,284",+,71,633,"3,255","5,672","4,049","2,851","3,814","1,198","1,481",646,"3,136",97,179,497,585,631,"1,085",62,+,+,+,+,+,+,+,+,+,+,+
WY,HC.gov,"26,540","42,388","39,933","36,156","2,445","34,762","8,064","26,698","19,205","7,493","5,710","13,495","2,742","5,374","7,846","9,404","12,725","17,036","33,001","33,149","33,351","33,530","34,762",$857 ,$88 ,"18,491","32,961","7,810",424,"2,371","4,685",330,"32,927",$812 ,$52 ,"5,151","2,992","5,755","5,853","5,289","9,554",168,"16,056","18,706","2,003",249,432,24,110,"25,054",135,681,"6,074",298,441,24,124,"26,039",416,847,"6,573","28,314","4,445","26,662","8,100",+,"4,772","7,784","22,206",+,355,"4,703","6,223","5,285","6,373","4,861","6,420","2,148","2,468",629,"6,746",284,668,"1,726","1,434","1,205","1,399",30,+,+,+,+,+,+,+,+,+,+,+
Total,HC.gov,"8,371,943","12,194,577","11,486,135","10,354,423","743,544","10,255,636","2,380,835","7,874,801","5,680,878","2,193,923","3,191,133","2,489,745","773,557","1,624,349","2,434,623","3,003,916","3,946,945","5,124,572","9,728,956","9,789,011","9,859,148","9,917,196","10,255,636",$594 ,$111 ,"3,247,248","9,462,980","5,482,118","506,333","1,368,120","3,553,409","54,256","9,447,972",$524 ,$77 ,"1,009,842","1,037,425","1,562,082","1,712,146","2,004,919","2,762,438","166,784","4,694,009","5,561,627","1,301,586","46,990","573,078","5,360","686,875","3,552,077","62,364","125,240","3,902,066","52,025","576,414","6,267","700,343","4,166,990","178,092","157,566","4,417,939","5,922,888","3,031,162","1,849,731","8,405,905","42,087","3,447,850","5,935,531","804,617","25,551","146,297","3,179,682","4,144,112","1,852,059","1,316,029","860,181","937,198","305,657","350,287","343,816","1,374,979","125,172","118,911","266,282","264,122","257,712","325,833","16,947",+,+,+,+,+,+,+,+,+,+,+
Total,SBM,"7,427,700","13,635,487","5,999,324","4,351,336",NR,"4,255,441","685,525","3,569,916","1,062,070","2,507,846",NR,NR,"328,539","449,975","587,069","684,721","825,451","995,248","4,069,065","4,092,013","4,134,579","4,160,082","4,236,870",NR,NR,"811,266","3,515,557",NR,NR,NR,NR,NR,"3,512,009",NR,NR,"315,047","352,768","746,987","692,924","803,879","1,273,712","68,819","2,026,597","2,226,576","561,352","10,431","556,428","6,924","155,800","1,775,235","156,615","64,735","971,783",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"39,937","1,264,270","2,241,971","598,328","110,935","87,859","106,765","495,980","857,633","656,402","522,685","612,581","199,306","242,296","580,699","895,368","71,998","72,583","203,118","163,126","154,123","207,683","22,603","1,054,603",NR,NR,"1,332","134,164","250,158","250,476","224,274","194,199","502,998","551,605"
Total,All,"15,799,643","25,830,064","17,485,459","14,705,759",NR,"14,511,077","3,066,360","11,444,717","6,742,948","4,701,769",NR,NR,"1,102,096","2,074,324","3,021,692","3,688,637","4,772,396","6,119,820","13,798,021","13,881,024","13,993,727","14,077,278","14,492,506",NR,NR,"4,058,514","12,978,537",NR,NR,NR,NR,NR,"12,959,981",NR,NR,"1,324,889","1,390,193","2,309,069","2,405,070","2,808,798","4,036,150","235,603","6,720,606","7,788,203","1,862,938","57,421","1,129,506","12,284","842,675","5,327,312","218,979","189,975","4,873,849",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"82,024","4,712,120","8,177,502","1,402,945","136,486","234,156","3,286,447","4,640,092","2,709,692","1,972,431","1,382,866","1,549,779","504,963","592,583","924,515","2,270,347","197,170","191,494","469,400","427,248","411,835","533,516","39,550","1,054,603",NR,NR,"1,332","134,164","250,158","250,476","224,274","194,199","502,998","551,605"
