State_Abrvtn,Pltfrm,Aplctn_Sbmtd,Indvdl_Aplctn_Sbmtd,QHP_Elgbl,FA_Elgbl,MC_Elgbl,Cnsmr,New_Cnsmr,Tot_Renrl,Actv_Renrl,Auto_Renrl,Actv_Renrl_Sw,Actv_Renrl_Nsw,Wk_1,Wk_2,Wk_3,Wk_4,Wk_5,Wk_6,Wk_7,Wk_8,Wk_9,Wk_10,Wk_11,Avg_Prm,Avg_Prm_Aftr_APTC,Cnsmr_Prm_Aftr_APTC_LTEQ10,Cnsmr_Wth_APTC_CSR,CSR_Cnsmr,CSR_Cnsmr_73,CSR_Cnsmr_87,CSR_Cnsmr_94,CSR_Cnsmr_AIAN,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC,APTC_Cnsmr_Avg_Prm_Aftr_APTC,Age_0_17,Age_18_25,Age_26_34,Age_35_44,Age_45_54,Age_55_64,Age_GE65,Male,Female,Hspnc_Yes,AIAN_NonHspnc,ASN_NonHspnc,NHPI_NonHspnc,BLACK_NonHspnc,WHT_NonHspnc,Othr_Race_NonHspnc,Mlt_Race_NonHspnc,Unk_Race_Ethncty,AIAN,ASN,NHPI,BLACK,WHT,Othr_Race,Mlt_Race,Unk_Race,Hspnc_No,Unk_Ethncty,Rrl,Non_Rrl,Ctstrphc,Brnz,Slvr,Gld,Pltnm,FPL_LT100,FPL_100_138,FPL_100_150,FPL_150_200,FPL_200_250,FPL_250_300,FPL_300_400,FPL_400_500,FPL_GT500,FPL_OTHR,Dntl_Cnsmr,Dntl_Age_0_17,Dntl_Age_18_25,Dntl_Age_26_34,Dntl_Age_35_44,Dntl_Age_45_54,Dntl_Age_55_64,Dntl_Age_GE65,BHP_Enrlmnt,BHP_New_Enrl,BHP_Renrl,BHP_Age_0_17,BHP_Age_18_25,BHP_Age_26_34,BHP_Age_35_44,BHP_Age_45_54,BHP_Age_55,BHP_Male,BHP_Female
IN,HC.gov,"135,584","202,940","181,349","151,219","22,894","156,926","35,898","121,028","78,292","42,736","27,525","50,767","9,478","19,429","30,406","37,810","51,410","69,508","149,001","149,740","150,851","151,945","156,926",$564 ,$193 ,"20,637","127,829","61,368","14,457","26,641","20,118",152,"127,460",$458 ,$121 ,"15,803","11,781","21,613","24,353","28,320","53,782","1,274","73,016","83,910","5,728",154,"8,521",38,"5,698","91,648",659,"1,738","42,742",176,"8,538",42,"5,779","94,000","1,562","1,982","44,847","124,233","26,965","40,547","116,379",+,"61,806","90,297","4,823",+,748,"5,105","22,584","31,640","22,793","20,676","22,572","8,688","10,858","16,367","14,082","1,463",939,"2,303","2,692","2,702","3,792",191,+,+,+,+,+,+,+,+,+,+,+
KS,HC.gov,"91,387","133,247","125,800","108,568","7,533","107,784","23,178","84,606","60,899","23,707","30,441","30,458","8,437","16,321","23,958","29,217","38,728","50,906","102,446","102,854","103,427","104,240","107,784",$627 ,$149 ,"20,467","97,626","49,878","4,643","14,376","29,715","1,144","97,361",$530 ,$104 ,"10,111","10,081","17,576","18,478","18,333","32,167","1,038","49,453","58,331","7,437",669,"5,212",60,"3,256","59,622",505,"2,249","28,774",755,"5,240",68,"3,341","63,147","1,479","2,608","31,146","80,268","20,079","40,453","67,331",354,"38,456","52,783","16,191",+,"2,340","28,477","36,044","20,243","15,310","10,834","11,677","3,555","3,665","4,116","13,210",928,"1,104","2,764","2,729","2,315","3,233",137,+,+,+,+,+,+,+,+,+,+,+
KY ,SBM,"222,768","300,248","82,356","64,656","200,945","73,935","11,755","62,180","10,420","51,760",NR,NR,"1,333","2,576","3,935","4,898","6,796","9,676","71,561","72,057","72,943","73,451","73,490",$579 ,$185 ,"13,402","60,572","23,759",NR,NR,NR,NR,"60,506",$481 ,$113 ,"7,273","5,089","10,306","11,297","13,464","25,486","1,020","34,001","39,934","1,492",60,"2,747",25,"2,659","55,753",1,993,"10,205",64,"2,763",26,"2,710","56,723",1,"1,036",NR,NR,NR,NR,NR,476,"35,480","32,503","5,476",+,289,"1,025","6,314","15,310","14,199","9,696","10,180","2,583","1,760","13,604","7,393",803,570,"1,432","1,370","1,208","1,901",109,+,+,+,+,+,+,+,+,+,+,+
LA,HC.gov,"93,575","133,686","116,498","104,508","17,837","99,626","23,222","76,404","47,104","29,300","13,914","33,190","6,185","12,159","17,851","21,987","30,153","40,528","94,685","95,167","96,041","96,068","99,626",$764 ,$157 ,"26,870","92,607","45,950","8,121","19,388","18,218",223,"92,466",$655 ,$118 ,"8,148","6,863","14,853","16,637","19,361","32,683","1,081","44,720","54,906","3,677",313,"6,884",27,"11,114","46,403",602,"1,362","29,244",335,"6,903",33,"11,178","47,996","1,177","1,580","30,424","73,253","22,696","18,681","80,945",+,"33,902","55,733","9,991",+,567,"4,167","20,233","23,900","15,188","13,467","14,221","4,510","4,424","3,116","14,439",422,906,"2,791","3,134","2,993","4,024",169,+,+,+,+,+,+,+,+,+,+,+
MA,SBM,"606,463","1,186,790","562,515","285,859","575,176","268,023","25,759","242,264","46,387","195,877",NR,NR,"7,323","13,414","19,195","22,555","27,781","34,169","262,282","262,167","256,143","259,507","263,063",$470 ,$201 ,"45,080","193,777","157,825",NR,NR,NR,NR,"193,507",$373 ,$97 ,"10,037","22,528","58,082","55,719","52,355","65,036","4,266","124,952","143,071","9,177",168,"24,646",202,"16,670","128,933","11,960","3,177","73,090",178,"24,683",218,"16,964","130,927","12,465","3,314",NR,NR,NR,NR,NR,732,"40,642","213,707","9,862","3,080","15,120","11,385","20,995","40,565","39,358","28,748","23,585","8,492","8,441","82,719","121,042","7,102","10,346","26,964","22,610","20,478","26,922","6,620",+,+,+,+,+,+,+,+,+,+,+
MD,SBM,"383,512","781,270","308,200","187,702","336,084","181,603","39,658","141,945","29,485","112,460",NR,NR,"6,339","11,976","17,338","20,810","29,581","36,486","170,366","171,447","173,726","175,327","181,603",$447 ,$158 ,"18,651","142,808","46,795",NR,NR,NR,NR,"142,650",$383 ,$99 ,"10,306","15,069","34,507","32,167","34,077","46,860","8,617","80,965","100,638","20,241",452,"23,420",494,"30,064","56,919","5,148",+,"44,865",612,"23,599",536,"30,535","60,890","7,452",+,NR,NR,NR,NR,NR,"2,631","41,237","51,304","82,823","3,608","17,763","8,159","19,015","35,420","25,711","17,275","21,245","7,299","8,686","29,189","11,032","2,084","1,096","2,220","1,516","1,258","1,410","1,448",+,+,+,+,+,+,+,+,+,+,+
ME,SBM,"68,275","97,654","91,114","63,181","6,074","66,095","11,025","55,070","30,108","24,962",NR,NR,"4,845","8,278","11,540","13,820","18,335","24,058","65,085","65,005","65,069","65,086","66,095",$554 ,$163 ,"11,377","54,884","19,660",NR,NR,NR,NR,"54,844",$470 ,$102 ,"8,879","4,188","9,437","9,846","11,242","21,994",509,"30,737","35,358","1,413",115,"1,102",8,463,"48,572",49,721,"13,652",117,"1,126",10,478,"49,175",475,978,NR,NR,NR,NR,NR,657,"30,634","30,137","4,279",388,"1,690","1,267","4,846","11,273","12,279","9,484","11,797","3,722","3,886","7,118","9,064","1,518",531,"1,656","1,615","1,471","2,170",103,+,+,+,+,+,+,+,+,+,+,+
MI,HC.gov,"243,236","369,768","337,646","293,960","34,774","303,550","62,475","241,075","156,886","84,189","48,784","108,102","20,919","42,547","63,017","77,214","102,362","136,053","292,093","293,294","294,316","295,485","303,550",$503 ,$170 ,"47,516","259,760","111,671","25,632","43,102","41,799","1,138","258,712",$390 ,$125 ,"36,194","23,338","43,785","43,500","51,226","102,591","2,916","144,830","158,720","6,659",944,"10,418",73,"10,402","158,943","2,503","3,891","109,717","1,017","10,454",80,"10,540","161,993","3,362","4,269","111,835","222,682","74,209","71,301","232,249","2,864","143,601","142,742","14,183",160,"2,128","12,514","49,371","59,828","56,622","40,263","45,573","15,011","14,951","19,803","64,091","8,415","4,440","12,469","12,011","10,636","15,478",642,+,+,+,+,+,+,+,+,+,+,+
MN,SBM,"222,215","346,540","300,462","140,634","32,445","121,322","26,142","95,180","12,627","82,553",NR,NR,"3,883","6,011","8,714","10,566","14,446","20,855","116,992","117,039","117,344","117,878","121,322",$481 ,$280 ,"1,989","71,818","10,261",NR,NR,NR,NR,"71,672",$340 ,$190 ,"14,061","8,388","16,901","17,548","18,709","45,124",591,"59,228","62,094","2,166",407,"3,404",25,"2,326","76,587",662,1627,"34,118",436,"3,422",27,"2,374","77,306",769,"1,747",NR,NR,NR,NR,NR,"3,061","61,074","37,835","19,352",+,127,32,69,159,"21,429","17,365","24,107","7,330","7,511","43,225","25,793","2,875","1,879","6,170","4,693","3,798","6,083",295,"98,581",NR,NR,"1,332","12,760","22,696","23,705","17,377","20,711","44,143","54,438"
MO,HC.gov,"223,941","314,488","271,988","243,643","50,728","250,341","46,810","203,531","126,329","77,202","61,808","64,521","16,217","32,589","48,597","59,763","79,719","105,873","241,298","241,947","242,418","244,022","250,341",$629 ,$137 ,"52,038","226,187","138,996","18,658","45,965","73,331","1,042","225,808",$546 ,$93 ,"17,860","22,824","39,346","42,811","47,282","78,353","1,865","115,451","134,890","5,996",847,"9,708",111,"10,711","130,234","1,202","3,311","88,221",906,"9,742",123,"10,808","132,747","2,134","3,710","90,171","185,177","59,168","82,134","168,207",896,"80,844","161,335","7,266",+,"2,761","41,597","85,981","57,166","32,613","19,094","24,405","7,621","8,435","12,265","26,772","1,839","1,981","5,467","5,441","4,755","7,071",218,+,+,+,+,+,+,+,+,+,+,+
